chebi,ecto,phenotype,receptor,exposure,source,concentration,frequency,duration
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_0,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_1,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_2,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_3,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_4,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_5,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_6,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/ZP_0003211,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_7,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_8,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_9,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_10,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_11,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_12,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_13,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_14,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_15,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/ZP_0000398,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_16,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_2555,http://purl.obolibrary.org/obo/ECTO_0001602,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_17,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_2555,http://purl.obolibrary.org/obo/ECTO_0001602,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_18,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_2555,http://purl.obolibrary.org/obo/ECTO_0001602,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_19,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_2555,http://purl.obolibrary.org/obo/ECTO_0001602,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_20,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34608,http://purl.obolibrary.org/obo/ECTO_0001646,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_21,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34608,http://purl.obolibrary.org/obo/ECTO_0001646,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_22,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34608,http://purl.obolibrary.org/obo/ECTO_0001646,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_23,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34608,http://purl.obolibrary.org/obo/ECTO_0001646,http://purl.obolibrary.org/obo/ZP_0004969,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_24,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_25,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_26,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_27,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_28,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_29,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_30,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_31,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_32,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/ZP_0003211,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_33,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_34,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_35,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_36,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_37,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_38,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_39,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_40,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_41,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_42,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_43,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_44,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_45,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_46,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0004969,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_47,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_48,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_49,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0003211,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_50,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/ZP_0000398,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_51,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/ZP_0009598,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_52,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_53,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_54,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_55,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_56,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_57,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/ZP_0009598,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_58,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_59,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_60,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_61,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_62,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_63,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81584,http://purl.obolibrary.org/obo/ECTO_0001547,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_64,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_65,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_66,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_67,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_68,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_69,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_70,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0004969,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_71,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_72,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_73,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_74,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_75,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_76,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_77,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_78,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_79,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_80,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_81,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_27928,http://purl.obolibrary.org/obo/ECTO_0002222,http://purl.obolibrary.org/obo/ZP_0003211,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_82,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/UBERON_0000071,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_83,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0002314,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_84,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0000043,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_85,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0005892,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_86,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0012799,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_87,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0002347,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_88,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0010821,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_89,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0002198,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_90,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_41922,http://purl.obolibrary.org/obo/ECTO_0002005,http://purl.obolibrary.org/obo/ZP_0003211,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_91,Biobide,AC50,acute,4d
